2024-5-20 0:1:45  2024,05,20,00,01,24,121.204304,25.051221,80.619,5494,1.250,4.752,12.279,27.000,62.800,0.927,0.382,Node2,0,0
2024-5-20 0:2:20  2024,05,20,00,02,01,121.204304,25.051221,80.619,5495,2.532,4.814,12.424,27.000,62.800,0.927,0.382,Node2,0,0
2024-5-20 0:3:4  2024,05,20,00,02,39,121.204304,25.051221,80.619,5496,1.551,4.975,12.707,27.000,62.800,0.927,0.382,Node2,0,0
2024-5-20 0:3:53  2024,05,20,00,03,29,121.204304,25.051221,80.619,5497,1.906,4.863,12.506,27.000,62.800,0.926,0.382,Node2,0,0
2024-5-20 0:4:47  2024,05,20,00,04,24,121.204304,25.051221,80.619,5498,2.002,4.852,12.435,27.000,62.800,0.927,0.382,Node2,0,0
2024-5-20 0:5:40  2024,05,20,00,05,19,121.204304,25.051221,80.619,5499,1.883,4.985,12.627,27.000,62.800,0.927,0.382,Node2,0,0
2024-5-20 0:6:36  2024,05,20,00,06,14,121.204304,25.051221,80.619,5500,1.129,5.003,12.645,27.000,62.800,0.927,0.382,Node2,0,0
2024-5-20 0:7:33  2024,05,20,00,07,09,121.204304,25.051221,80.619,5501,1.856,4.996,12.638,27.000,62.800,0.927,0.382,Node2,0,0
2024-5-20 0:8:23  2024,05,20,00,08,04,121.204304,25.051221,80.619,5502,1.631,4.907,12.464,27.000,62.800,0.927,0.382,Node2,0,0
2024-5-20 0:9:22  2024,05,20,00,08,59,121.204304,25.051221,80.619,5503,1.245,5.042,12.903,27.000,62.800,0.927,0.382,Node2,0,0
2024-5-20 0:10:14  2024,05,20,00,09,54,121.204304,25.051221,80.619,5504,1.487,5.134,13.035,27.000,62.800,0.928,0.382,Node2,0,0
2024-5-20 0:11:12  2024,05,20,00,10,49,121.204304,25.051221,80.619,5505,1.319,5.100,12.985,27.000,62.700,0.928,0.382,Node2,0,0
2024-5-20 0:12:8  2024,05,20,00,11,44,121.204304,25.051221,80.619,5506,1.686,5.083,12.968,27.000,62.700,0.927,0.382,Node2,0,0
2024-5-20 0:13:2  2024,05,20,00,12,40,121.204304,25.051221,80.619,5507,1.651,5.060,12.944,27.000,62.700,0.926,0.382,Node2,0,0
2024-5-20 0:13:56  2024,05,20,00,13,35,121.204304,25.051221,80.619,5508,1.114,5.121,9.739,27.000,62.700,0.926,0.382,Node2,0,0
2024-5-20 0:14:51  2024,05,20,00,14,30,121.204304,25.051221,80.619,5509,1.482,5.093,9.708,27.000,62.800,0.925,0.382,Node2,0,0
2024-5-20 0:15:47  2024,05,20,00,15,25,121.204304,25.051221,80.619,5510,1.067,5.015,9.559,27.000,62.800,0.925,0.382,Node2,0,0
2024-5-20 0:16:39  2024,05,20,00,16,20,121.204304,25.051221,80.619,5511,1.495,5.019,9.563,27.000,62.800,0.926,0.382,Node2,0,0
2024-5-20 0:17:34  2024,05,20,00,17,15,121.204304,25.051221,80.619,5512,1.908,4.982,9.275,27.000,62.800,0.925,0.382,Node2,0,0
2024-5-20 0:18:32  2024,05,20,00,18,10,121.204304,25.051221,80.619,5513,1.224,5.008,8.637,27.000,62.800,0.925,0.382,Node2,0,0
2024-5-20 0:19:26  2024,05,20,00,19,05,121.204304,25.051221,80.619,5514,1.332,5.001,8.630,27.000,62.800,0.925,0.382,Node2,0,0
2024-5-20 0:20:21  2024,05,20,00,20,00,121.204304,25.051221,80.619,5515,1.556,4.923,8.531,27.000,62.700,0.925,0.382,Node2,0,0
2024-5-20 0:21:17  2024,05,20,00,20,55,121.204304,25.051221,80.619,5516,1.038,4.946,8.556,27.000,62.800,0.925,0.382,Node2,0,0
2024-5-20 0:22:12  2024,05,20,00,21,50,121.204304,25.051221,80.619,5517,0.934,4.946,8.623,27.000,62.700,0.925,0.382,Node2,0,0
2024-5-20 0:23:4  2024,05,20,00,22,45,121.204304,25.051221,80.619,5518,1.137,4.878,8.469,27.000,62.800,0.924,0.382,Node2,0,0
2024-5-20 0:24:2  2024,05,20,00,23,40,121.204304,25.051221,80.619,5519,1.523,4.865,8.456,27.000,62.800,0.925,0.382,Node2,0,0
2024-5-20 0:24:58  2024,05,20,00,24,35,121.204304,25.051221,80.619,5520,1.377,4.831,7.746,27.000,62.800,0.926,0.382,Node2,0,0
2024-5-20 0:25:53  2024,05,20,00,25,30,121.204304,25.051221,80.619,5521,1.293,4.923,7.949,27.000,62.800,0.926,0.382,Node2,0,0
2024-5-20 0:26:44  2024,05,20,00,26,25,121.204304,25.051221,80.619,5522,1.361,4.877,7.220,27.000,62.800,0.925,0.382,Node2,0,0
2024-5-20 0:27:43  2024,05,20,00,27,20,121.204304,25.051221,80.619,5523,2.061,4.861,7.201,27.000,62.800,0.925,0.382,Node2,0,0
2024-5-20 0:28:38  2024,05,20,00,28,15,121.204304,25.051221,80.619,5524,0.971,4.761,6.997,27.000,62.800,0.925,0.382,Node2,0,0
2024-5-20 0:29:29  2024,05,20,00,29,10,121.204304,25.051221,80.619,5525,1.176,4.678,6.908,27.000,62.800,0.925,0.382,Node2,0,0
2024-5-20 0:30:28  2024,05,20,00,30,05,121.204304,25.051221,80.619,5526,1.737,4.566,6.694,27.000,62.800,0.926,0.382,Node2,0,0
2024-5-20 0:31:19  2024,05,20,00,31,00,121.204304,25.051221,80.619,5527,1.333,4.651,6.803,27.000,62.800,0.926,0.382,Node2,0,0
2024-5-20 0:32:14  2024,05,20,00,31,55,121.204304,25.051221,80.619,5528,1.539,4.633,6.785,27.000,62.800,0.926,0.382,Node2,0,0
